event_id;day;event;who;from;to;success
597;100;visit;a2;4;4;1
598;100;visit;a3;3;4;1
599;100;visit;a4;3;4;1
600;100;visit;a5;5;6;1
601;101;visit;a0;3;2;1
602;101;visit;a1;3;4;1
603;101;visit;a2;4;3;1
604;101;visit;a3;4;4;1
605;101;visit;a4;4;3;1
606;101;visit;a5;6;5;1
607;102;visit;a0;2;1;1
608;102;visit;a1;4;4;1
609;102;visit;a2;3;3;1
610;102;visit;a3;4;5;1
611;102;visit;a4;3;3;1
612;102;visit;a5;5;5;1
613;103;visit;a0;1;2;1
614;103;visit;a1;4;3;1
615;103;visit;a2;3;3;1
616;103;visit;a3;5;5;1
617;103;visit;a4;3;2;1
618;103;visit;a5;5;5;1
619;104;visit;a0;2;3;1
620;104;visit;a1;3;2;1
621;104;visit;a2;3;3;1
622;104;visit;a3;5;6;1
623;104;visit;a4;2;2;1
624;104;visit;a5;5;6;1
625;105;visit;a0;3;4;1
626;105;visit;a1;2;3;1
627;105;visit;a2;3;3;1
628;105;visit;a3;6;6;1
629;105;visit;a4;2;1;1
630;105;visit;a5;6;6;1
631;106;visit;a0;4;3;1
632;106;visit;a1;3;4;1
633;106;visit;a2;3;3;1
634;106;visit;a3;6;1;1
635;106;visit;a4;1;1;1
636;106;visit;a5;6;1;1
637;107;visit;a0;3;3;1
638;107;visit;a1;4;4;1
639;107;visit;a2;3;2;1
640;107;visit;a3;1;2;1
641;107;visit;a4;1;6;1
642;107;visit;a5;1;6;1
643;108;visit;a0;3;3;1
644;108;visit;a1;4;3;1
645;108;visit;a2;2;1;1
646;108;visit;a3;2;2;1
647;108;visit;a4;6;6;1
648;108;visit;a5;6;6;1
649;109;visit;a0;3;3;1
650;109;visit;a1;3;4;1
651;109;visit;a2;1;2;1
652;109;visit;a3;2;1;1
653;109;visit;a4;6;6;1
654;109;visit;a5;6;6;1
655;110;visit;a0;3;4;1
656;110;visit;a1;4;3;1
657;110;visit;a2;2;2;1
658;110;visit;a3;1;1;1
659;110;visit;a4;6;6;1
660;110;visit;a5;6;5;1
661;111;visit;a0;4;5;1
662;111;visit;a1;3;4;1
663;111;visit;a2;2;3;1
664;111;visit;a3;1;1;1
665;111;visit;a4;6;6;1
666;111;visit;a5;5;5;1
667;112;visit;a0;5;6;1
668;112;visit;a1;4;5;1
669;112;visit;a2;3;2;1
670;112;visit;a3;1;1;1
671;112;visit;a4;6;5;1
672;112;visit;a5;5;6;1
673;113;visit;a0;6;6;1
674;113;visit;a1;5;4;1
675;113;visit;a2;2;1;1
676;113;visit;a3;1;1;1
677;113;visit;a4;5;4;1
678;113;visit;a5;6;5;1
679;114;visit;a0;6;5;1
680;114;visit;a1;4;5;1
681;114;visit;a2;1;2;1
682;114;visit;a3;1;2;1
683;114;visit;a4;4;5;1
684;114;visit;a5;5;4;1
685;115;visit;a0;5;5;1
686;115;visit;a1;5;6;1
687;115;visit;a2;2;2;1
688;115;visit;a3;2;3;1
689;115;visit;a4;5;4;1
690;115;visit;a5;4;3;1
691;116;visit;a0;5;6;1
692;116;visit;a1;6;5;1
693;116;visit;a2;2;1;1
694;116;visit;a3;3;2;1
695;116;visit;a4;4;3;1
696;116;visit;a5;3;3;1
697;117;visit;a0;6;1;1
698;117;visit;a1;5;5;1
699;117;visit;a2;1;2;1
700;117;visit;a3;2;3;1
701;117;visit;a4;3;4;1
702;117;visit;a5;3;2;1
703;118;visit;a0;1;1;1
704;118;visit;a1;5;4;1
705;118;visit;a2;2;2;1
706;118;visit;a3;3;4;1
707;118;visit;a4;4;4;1
708;118;visit;a5;2;3;1
709;119;visit;a0;1;2;1
710;119;visit;a1;4;4;1
711;119;visit;a2;2;3;1
712;119;visit;a3;4;4;1
713;119;visit;a4;4;3;1
714;119;visit;a5;3;3;1
715;120;visit;a0;2;3;1
716;120;visit;a1;4;5;1
717;120;visit;a2;3;3;1
718;120;visit;a3;4;3;1
719;120;visit;a4;3;2;1
720;120;visit;a5;3;3;1
721;121;visit;a0;3;3;1
722;121;visit;a1;5;5;1
723;121;visit;a2;3;4;1
724;121;visit;a3;3;3;1
725;121;visit;a4;2;1;1
726;121;visit;a5;3;3;1
727;122;visit;a0;3;4;1
728;122;visit;a1;5;6;1
729;122;visit;a2;4;3;1
730;122;visit;a3;3;4;1
731;122;visit;a4;1;1;1
732;122;visit;a5;3;3;1
733;123;visit;a0;4;5;1
734;123;visit;a1;6;5;1
735;123;visit;a2;3;2;1
736;123;visit;a3;4;4;1
737;123;visit;a4;1;6;1
738;123;visit;a5;3;4;1
739;124;visit;a0;5;6;1
740;124;visit;a1;5;5;1
741;124;visit;a2;2;2;1
742;124;visit;a3;4;3;1
743;124;visit;a4;6;6;1
744;124;visit;a5;4;3;1
745;125;visit;a0;6;5;1
746;125;visit;a1;5;6;1
747;125;visit;a2;2;3;1
748;125;visit;a3;3;2;1
749;125;visit;a4;6;1;1
750;125;visit;a5;3;3;1
751;126;visit;a0;5;4;1
752;126;visit;a1;6;6;1
753;126;visit;a2;3;4;1
754;126;visit;a3;2;2;1
755;126;visit;a4;1;6;1
756;126;visit;a5;3;2;1
757;127;visit;a0;4;5;1
758;127;visit;a1;6;6;1
759;127;visit;a2;4;4;1
760;127;visit;a3;2;2;1
761;127;visit;a4;6;1;1
762;127;visit;a5;2;3;1
763;128;visit;a0;5;5;1
764;128;visit;a1;6;1;1
765;128;visit;a2;4;4;1
766;128;visit;a3;2;3;1
767;128;visit;a4;1;1;1
768;128;visit;a5;3;4;1
769;129;visit;a0;5;6;1
770;129;visit;a1;1;1;1
771;129;visit;a2;4;3;1
772;129;visit;a3;3;3;1
773;129;visit;a4;1;1;1
774;129;visit;a5;4;4;1
775;130;visit;a0;6;5;1
776;130;visit;a1;1;2;1
777;130;visit;a2;3;2;1
778;130;visit;a3;3;3;1
779;130;visit;a4;1;2;1
780;130;visit;a5;4;5;1
781;131;visit;a0;5;5;1
782;131;visit;a1;2;1;1
783;131;visit;a2;2;1;1
784;131;visit;a3;3;2;1
785;131;visit;a4;2;1;1
786;131;visit;a5;5;5;1
787;132;visit;a0;5;4;1
788;132;visit;a1;1;6;1
789;132;visit;a2;1;2;1
790;132;visit;a3;2;2;1
791;132;visit;a4;1;6;1
792;132;visit;a5;5;5;1
793;133;visit;a0;4;3;1
794;133;visit;a1;6;6;1
795;133;visit;a2;2;1;1
796;133;visit;a3;2;1;1
797;133;visit;a4;6;5;1
798;133;visit;a5;5;5;1
799;134;visit;a0;3;3;1
800;134;visit;a1;6;5;1
801;134;visit;a2;1;1;1
802;134;visit;a3;1;1;1
803;134;visit;a4;5;5;1
804;134;visit;a5;5;4;1
805;135;visit;a0;3;4;1
806;135;visit;a1;5;6;1
807;135;visit;a2;1;1;1
808;135;visit;a3;1;6;1
809;135;visit;a4;5;4;1
810;135;visit;a5;4;4;1
811;136;visit;a0;4;3;1
812;136;visit;a1;6;5;1
813;136;visit;a2;1;2;1
814;136;visit;a3;6;5;1
815;136;visit;a4;4;3;1
816;136;visit;a5;4;3;1
817;137;visit;a0;3;3;1
818;137;visit;a1;5;4;1
819;137;visit;a2;2;1;1
820;137;visit;a3;5;6;1
821;137;visit;a4;3;2;1
822;137;visit;a5;3;3;1
823;138;visit;a0;3;2;1
824;138;visit;a1;4;5;1
825;138;visit;a2;1;6;1
826;138;visit;a3;6;5;1
827;138;visit;a4;2;3;1
828;138;visit;a5;3;4;1
829;139;visit;a0;2;1;1
830;139;visit;a1;5;4;1
831;139;visit;a2;6;6;1
832;139;visit;a3;5;4;1
833;139;visit;a4;3;3;1
834;139;visit;a5;4;5;1
835;140;visit;a0;1;6;1
836;140;visit;a1;4;3;1
837;140;visit;a2;6;1;1
838;140;visit;a3;4;5;1
839;140;visit;a4;3;3;1
840;140;visit;a5;5;6;1
841;141;visit;a0;6;6;1
842;141;visit;a1;3;3;1
843;141;visit;a2;1;1;1
844;141;visit;a3;5;5;1
845;141;visit;a4;3;4;1
846;141;visit;a5;6;1;1
847;142;visit;a0;6;6;1
848;142;visit;a1;3;4;1
849;142;visit;a2;1;1;1
850;142;visit;a3;5;6;1
851;142;visit;a4;4;5;1
852;142;visit;a5;1;1;1
853;143;visit;a0;6;1;1
854;143;visit;a1;4;3;1
855;143;visit;a2;1;6;1
856;143;visit;a3;6;1;1
857;143;visit;a4;5;4;1
858;143;visit;a5;1;2;1
859;144;visit;a0;1;2;1
860;144;visit;a1;3;3;1
861;144;visit;a2;6;6;1
862;144;visit;a3;1;1;1
863;144;visit;a4;4;5;1
864;144;visit;a5;2;3;1
865;145;visit;a0;2;3;1
866;145;visit;a1;3;3;1
867;145;visit;a2;6;5;1
868;145;visit;a3;1;1;1
869;145;visit;a4;5;5;1
